save_name,avg_recall,search_duration,total_duration
gpu_eucdist_opt-k100-query32,0.004062,3567,4014
gpu_bloom_pq-k100-query32,0.050625,3856,4279
gpu_bloom_smmh-k100-query32,0.000625,2572,3197
cpu-k100-query33,0.051212,67171,0
gpu_non_opt-k100-query33,0.004545,6225,6741
gpu_shared_mem-k100-query33,0.004545,5173,5615
gpu_eucdist_opt-k100-query33,0.004242,3431,3844
gpu_bloom_pq-k100-query33,0.051212,3975,4381
gpu_bloom_smmh-k100-query33,0.002121,3992,4659
cpu-k100-query34,0.050882,69620,0
gpu_non_opt-k100-query34,0.003824,6584,7139
gpu_shared_mem-k100-query34,0.003824,5205,5649
gpu_eucdist_opt-k100-query34,0.003824,3451,3875
gpu_bloom_pq-k100-query34,0.050882,3888,4315
gpu_bloom_smmh-k100-query34,0.001176,3918,4584
cpu-k100-query35,0.050286,73131,0
gpu_non_opt-k100-query35,0.004571,6538,7133
gpu_shared_mem-k100-query35,0.004571,5458,5934
gpu_eucdist_opt-k100-query35,0.004571,3443,3865
gpu_bloom_pq-k100-query35,0.050286,3822,4239
gpu_bloom_smmh-k100-query35,0.000857,4252,5118
cpu-k100-query36,0.050556,74969,0
gpu_non_opt-k100-query36,0.005556,6640,7227
gpu_shared_mem-k100-query36,0.005556,5408,5889
gpu_eucdist_opt-k100-query36,0.005278,3512,3954
gpu_bloom_pq-k100-query36,0.050556,4503,4968
gpu_bloom_smmh-k100-query36,0.001667,2803,3548
cpu-k100-query37,0.051622,78686,0
gpu_non_opt-k100-query37,0.005405,6997,7665
gpu_shared_mem-k100-query37,0.005676,5509,6028
gpu_eucdist_opt-k100-query37,0.005946,4326,4785
gpu_bloom_pq-k100-query37,0.051622,5474,5942
gpu_bloom_smmh-k100-query37,0.000000,2643,3379
cpu-k100-query38,0.051053,78981,0
gpu_non_opt-k100-query38,0.005000,7291,7955
gpu_shared_mem-k100-query38,0.005526,5233,5751
gpu_eucdist_opt-k100-query38,0.005526,3642,4161
gpu_bloom_pq-k100-query38,0.051053,5463,5980
gpu_bloom_smmh-k100-query38,0.000000,2923,3813
cpu-k100-query39,0.050513,82158,0
gpu_non_opt-k100-query39,0.002564,6762,7333
gpu_shared_mem-k100-query39,0.002821,5710,6253
gpu_eucdist_opt-k100-query39,0.002821,4159,4650
gpu_bloom_pq-k100-query39,0.050513,6493,7046
gpu_bloom_smmh-k100-query39,0.002308,4356,5121
cpu-k100-query40,0.051250,83660,0
gpu_non_opt-k100-query40,0.002750,7360,8001
gpu_shared_mem-k100-query40,0.002750,5417,6026
gpu_eucdist_opt-k100-query40,0.002250,3535,3986
gpu_bloom_pq-k100-query40,0.051250,6393,6959
gpu_bloom_smmh-k100-query40,0.005500,4268,5057
cpu-k100-query41,0.051219,85792,0
gpu_non_opt-k100-query41,0.003171,7404,7997
gpu_shared_mem-k100-query41,0.002927,5463,5929
gpu_eucdist_opt-k100-query41,0.002195,3654,4145
gpu_bloom_pq-k100-query41,0.051219,5837,6315
gpu_bloom_smmh-k100-query41,0.006829,4251,5015
cpu-k100-query42,0.050476,85201,0
gpu_non_opt-k100-query42,0.001667,7452,8101
gpu_shared_mem-k100-query42,0.001429,5644,6104
gpu_eucdist_opt-k100-query42,0.001667,3853,4427
gpu_bloom_pq-k100-query42,0.050476,5257,5702
gpu_bloom_smmh-k100-query42,0.004286,4127,4988
cpu-k100-query43,0.049767,89501,0
